Geo_FIPS,Geo_QNAME,Geo_NAME,CENSUS_NUM,CITY_NAME ,TOTAL POP_DEMOGRAPHICS,PROP_POP WHITE,PROP_POP BLACK,PROP_POP ASIAN,PROP_POP AMERICAN INDIAN,PROP_POP NATIVE HAWAIIAN,WHITE_POP,BLACK_POP,AMERICAN INDIAN_POP,ASIAN_POP,NATIVE HAWAIIAN-POP,OTHER_POP,TWO RACES _POP,TOTAL NUMBER HOUSEHOLD_INCOME,PROP_<100K,PROP_>100K,<10K,10-15K,15-20K,20-25K,25-30K,30-35K,35-40K,40-45K,45-50K,50-60K,60-75K,75-99K,100-125K,125-150K,150-200K,>200K,MEDIAN HOUSEHOLD_INCOME,OWNER HOUSEHOLD_MEDIAN INCOME,RENTER HOUSEHOLD_MEDIAN INCOME,TOTAL HOUSING UNITS ,OWNER HOUSING UNITS,RENTER HOUSING UNITS,OWNER_RATE,RENTER_RATE,WHITE OWNER_RATE,NON_WHITE OWNER RATE,WHITE OWNER HOUSING UNITS,NON WHITE OWNER HOUSING UNITS,MEDIAN HOUSE VALUE (OWNER),,OTHER ,"Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Second Mortgage Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Home Equity Loan Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Both Second Mortgage and Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: No Second Mortgage and No Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Home Equity Loan Without A Primary Mortgage",Owner-Occupied Housing Units: Housing Units Without a Mortgage,1 PERSON HOUSEHOLD,2 PERSON HOUSEHOLD,3 PERSON HOUSEHOLD,4 PERSON HOUSEHOLD,5 PERSON HOUSEHOLD,6 PERSON HOUSEHOLD,7 OR MORE PERSON HOUSEHOLD
25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",Census Tract 3106.02,3106.02,LOWELL,6189,0.559541121,0.191307158,0.169978995,0.000807885,0,3463,1184,5,1052,0,99,386,2405,0.521829522,0.478170478,105,71,40,50,45,29,0,0,0,150,260,505,459,189,255,247,94042,110556,91890,2599,1220,1379,0.469411312,0.530588688,0.623770492,0.376229508,761,459,356500,,,908,50,17,33,0,858,0,312,541,927,496,205,183,39,14
25017310700,"Census Tract 3107, Middlesex County, Massachusetts",Census Tract 3107,3107,LOWELL,4475,0.55396648,0.14726257,0.17452514,0,0.000670391,2479,659,0,781,3,118,435,1451,0.773259821,0.226740179,22,86,53,119,106,48,33,17,142,81,152,263,67,51,62,149,62102,,60795,1557,281,1276,0.180475273,0.819524727,0.587188612,0.412811388,165,116,306700,,,249,31,0,31,0,218,0,32,499,273,215,214,170,58,22
25017311100,"Census Tract 3111, Middlesex County, Massachusetts",Census Tract 3111,3111,LOWELL,2383,0.460344104,0.131766681,0.238774654,0.002517835,0.008392782,1097,314,6,569,20,86,291,1016,0.613188976,0.386811024,101,59,30,20,14,23,37,23,57,88,56,115,115,130,73,75,75000,105724,59600,1076,218,858,0.20260223,0.79739777,0.417431193,0.582568807,91,127,425700,,,171,13,2,11,13,145,0,47,331,321,132,138,75,19,0
25017311200,"Census Tract 3112, Middlesex County, Massachusetts",Census Tract 3112,3112,LOWELL,3175,0.26992126,0.062362205,0.455433071,0,0,857,198,0,1446,0,458,216,1415,0.848763251,0.151236749,133,279,55,0,30,42,0,131,49,107,158,217,81,29,0,104,49102,34077,55323,1487,329,1158,0.221250841,0.778749159,0.428571429,0.571428571,141,188,355500,,,225,0,0,0,0,225,0,104,537,410,228,71,151,0,18
25017311300,"Census Tract 3113, Middlesex County, Massachusetts",Census Tract 3113,3113,LOWELL,4606,0.331306991,0.208423795,0.291359097,0,0,1526,960,0,1342,0,253,525,1392,0.738505747,0.261494253,51,90,87,32,33,59,49,14,10,63,138,402,151,93,48,72,80316,96571,56613,1438,594,844,0.413073713,0.586926287,0.420875421,0.579124579,250,344,424300,,,419,0,0,0,0,405,14,175,342,275,213,274,186,67,35
25017311400,"Census Tract 3114, Middlesex County, Massachusetts",Census Tract 3114,3114,LOWELL,6334,0.385696243,0.179033786,0.258920114,0.018629618,0,2443,1134,118,1640,0,587,412,2602,0.596079939,0.403920061,138,140,21,31,122,20,89,82,115,233,154,406,315,130,513,93,90244,101556,86447,2702,824,1878,0.304959289,0.695040711,0.60315534,0.39684466,497,327,468500,,,564,179,0,179,0,366,19,260,623,879,521,448,87,43,1
25017311500,"Census Tract 3115, Middlesex County, Massachusetts",Census Tract 3115,3115,LOWELL,3245,0.297996918,0.038520801,0.480739599,0,0,967,125,0,1560,0,204,389,1129,0.396811337,0.603188663,48,0,19,49,49,36,35,0,0,12,113,87,152,31,82,416,122887,250001,73221,1149,662,487,0.576153177,0.423846823,0.362537764,0.637462236,240,422,547200,,,486,30,0,30,0,456,0,176,194,361,353,53,62,0,106
25017311600,"Census Tract 3116, Middlesex County, Massachusetts",Census Tract 3116,3116,LOWELL,6329,0.472112498,0.015642282,0.435139833,0,0,2988,99,0,2754,0,31,457,1980,0.398989899,0.601010101,41,39,0,8,62,22,56,24,7,80,177,274,294,282,232,382,118170,135742,113068,2099,1179,920,0.561696046,0.438303954,0.649703138,0.350296862,766,413,462600,,,766,153,31,122,0,593,20,413,357,586,197,495,118,44,183
25017311700,"Census Tract 3117, Middlesex County, Massachusetts",Census Tract 3117,3117,LOWELL,4840,0.263842975,0.035950413,0.512190083,0.001033058,0,1277,174,5,2479,0,631,274,1640,0.47804878,0.52195122,103,41,27,80,27,0,69,4,17,112,93,211,339,136,247,134,102500,118864,75900,1674,980,694,0.585424134,0.414575866,0.383673469,0.616326531,376,604,390200,,,721,18,0,18,0,658,45,259,408,348,385,228,59,117,95
25017311800,"Census Tract 3118, Middlesex County, Massachusetts",Census Tract 3118,3118,LOWELL,3722,0.2544331,0.108543794,0.494895218,0,0,947,404,0,1842,0,211,318,1124,0.615658363,0.384341637,63,28,169,15,22,33,0,0,0,74,131,157,41,84,64,243,79034,167300,58056,1171,498,673,0.425277541,0.574722459,0.333333333,0.666666667,166,332,367800,,,378,87,31,56,0,291,0,120,153,294,118,321,189,18,31
25017311900,"Census Tract 3119, Middlesex County, Massachusetts",Census Tract 3119,3119,LOWELL,3016,0.381962865,0.106763926,0.203912467,0,0,1152,322,0,615,0,498,429,1267,0.797947908,0.202052092,53,119,167,28,32,52,102,61,57,42,121,177,95,35,79,47,46108,73750,43244,1316,188,1128,0.142857143,0.857142857,0.542553191,0.457446809,102,86,293800,,,86,9,0,9,0,77,0,102,373,376,258,162,70,28,0
25017312000,"Census Tract 3120, Middlesex County, Massachusetts",Census Tract 3120,3120,LOWELL,2909,0.457545548,0.080440014,0.190787212,0,0,1331,234,0,555,0,433,356,886,0.606094808,0.393905192,62,52,89,32,33,57,36,6,35,33,33,69,211,85,6,47,63676,39671,93309,1006,345,661,0.342942346,0.657057654,0.826086957,0.173913043,285,60,385500,,,143,23,0,23,0,103,17,202,210,226,44,206,76,18,106
25017312100,"Census Tract 3121, Middlesex County, Massachusetts",Census Tract 3121,3121,LOWELL,3480,0.429597701,0.191091954,0.15545977,0,0,1495,665,0,541,0,451,328,1285,0.621789883,0.378210117,61,89,43,36,13,6,12,42,0,80,90,327,297,46,113,30,84678,102292,78700,1313,397,916,0.302361005,0.697638995,0.44836272,0.55163728,178,219,350000,,,325,76,11,65,0,242,7,72,431,305,174,204,99,25,47
25017312200,"Census Tract 3122, Middlesex County, Massachusetts",Census Tract 3122,3122,LOWELL,4846,0.47957078,0.071192736,0.278167561,0,0,2324,345,0,1348,0,598,231,1788,0.649328859,0.350671141,34,6,20,73,63,25,61,80,38,153,356,252,123,276,88,140,73295,94792,65250,1860,1226,634,0.659139785,0.340860215,0.554649266,0.445350734,680,546,348200,,,941,78,0,78,0,803,60,285,437,470,452,177,179,42,31
25017312300,"Census Tract 3123, Middlesex County, Massachusetts",Census Tract 3123,3123,LOWELL,5163,0.649234941,0.067402673,0.147394925,0,0.004454774,3352,348,0,761,23,280,399,2070,0.451207729,0.548792271,15,12,14,40,13,0,46,65,35,254,273,167,375,462,135,164,117649,119573,74861,2082,1331,751,0.639289145,0.360710855,0.681442524,0.318557476,907,424,343800,,,960,172,10,162,0,779,9,371,426,719,522,232,80,91,0
25017312400,"Census Tract 3124, Middlesex County, Massachusetts",Census Tract 3124,3124,LOWELL,2169,0.624711849,0.110650069,0.061779622,0.006915629,0,1355,240,15,134,0,267,158,980,0.865306122,0.134693878,80,85,154,16,98,33,42,33,27,71,110,99,10,14,74,34,36667,,31250,1050,138,912,0.131428571,0.868571429,0.804347826,0.195652174,111,27,466700,,,70,12,0,12,0,58,0,68,418,283,126,44,20,51,38
25017312501,"Census Tract 3125.01, Middlesex County, Massachusetts",Census Tract 3125.01,3125.01,LOWELL,4836,0.70802316,0.046319272,0.130479735,0,0,3424,224,0,631,0,375,182,1813,0.4567016,0.5432984,65,11,65,14,17,105,55,32,110,53,149,152,219,229,158,379,106114,125658,,1889,1318,571,0.697723663,0.302276337,0.849013657,0.150986343,1119,199,483900,,,992,108,19,89,0,743,141,326,528,624,243,216,42,126,34
25017312502,"Census Tract 3125.02, Middlesex County, Massachusetts",Census Tract 3125.02,3125.02,LOWELL,4054,0.712136162,0.029847065,0.116181549,0,0,2887,121,0,471,0,103,472,1657,0.418829209,0.581170791,24,35,59,89,20,30,10,21,26,90,108,182,221,173,228,341,117007,136741,67163,1657,1173,484,0.707905854,0.292094146,0.885763001,0.114236999,1039,134,521300,,,747,147,12,135,0,558,42,426,472,552,254,249,115,5,10
25017313101,"Census Tract 3131.01, Middlesex County, Massachusetts",Census Tract 3131.01,3131.01,TYNGSBOROUGH,7118,0.821298117,0.000280978,0.068558584,0,0,5846,2,0,488,0,452,330,2285,0.367177243,0.632822757,0,40,60,20,11,35,12,104,82,42,200,233,113,163,439,731,163802,169411,61022,2342,1964,378,0.838599488,0.161400512,0.857433809,0.142566191,1684,280,556000,,,1318,216,0,216,0,1092,10,646,369,679,396,495,139,178,29
25017313102,"Census Tract 3131.02, Middlesex County, Massachusetts",Census Tract 3131.02,3131.02,TYNGSBOROUGH,5306,0.846211836,0.033169996,0.084809649,0,0,4490,176,0,450,0,34,156,1886,0.365853659,0.634146341,0,16,110,20,0,12,7,7,17,45,199,257,247,185,269,495,125938,144865,49412,2021,1642,379,0.812469075,0.187530925,0.850791717,0.149208283,1397,245,501900,,,1195,242,0,242,0,916,37,447,327,573,431,341,119,59,36
25017314101,"Census Tract 3141.01, Middlesex County, Massachusetts",Census Tract 3141.01,3141.01,DRACUT,6907,0.72911539,0.070942522,0.067612567,0,0,5036,490,0,467,0,55,859,2381,0.37799244,0.62200756,39,110,59,41,21,104,87,78,21,33,169,138,488,131,383,479,115369,135156,35278,2435,1861,574,0.764271047,0.235728953,0.871574422,0.128425578,1622,239,464600,,,1255,134,29,105,0,1008,113,606,490,702,337,508,112,193,39
25017314102,"Census Tract 3141.02, Middlesex County, Massachusetts",Census Tract 3141.02,3141.02,DRACUT,6951,0.852395339,0.033664221,0.040425838,0,0,5925,234,0,281,0,265,246,3017,0.541929069,0.458070931,121,28,28,126,46,117,193,55,34,176,433,278,481,382,282,237,89058,102077,70981,3126,2312,814,0.739603327,0.260396673,0.883217993,0.116782007,2042,270,394700,,,1361,251,32,219,0,1066,44,951,936,974,602,382,104,14,5
25017314200,"Census Tract 3142, Middlesex County, Massachusetts",Census Tract 3142,3142,DRACUT,5665,0.787643425,0.026125331,0.093733451,0,0,4462,148,0,531,0,312,212,2087,0.564446574,0.435553426,31,43,45,21,20,96,0,93,182,52,138,457,146,95,447,221,87392,103217,46978,2087,1561,526,0.747963584,0.252036416,0.734785394,0.265214606,1147,414,474900,,,922,96,0,96,8,768,50,639,491,631,354,335,230,46,0
25017314301,"Census Tract 3143.01, Middlesex County, Massachusetts",Census Tract 3143.01,3143.01,DRACUT,9329,0.862043091,0.018544324,0.048879837,0,0,8042,173,0,456,0,41,617,3561,0.402415052,0.597584948,89,57,47,43,0,110,137,189,141,84,239,297,474,419,648,587,121763,130349,79886,3686,2896,790,0.785675529,0.214324471,0.864640884,0.135359116,2504,392,474100,,,2009,403,14,389,13,1573,20,887,829,1432,279,643,312,39,27
25017314302,"Census Tract 3143.02, Middlesex County, Massachusetts",Census Tract 3143.02,3143.02,DRACUT,3504,0.847031963,0,0.047659817,0,0,2968,0,0,167,0,19,350,1099,0.224749773,0.775250227,0,7,6,6,0,40,25,21,0,27,20,95,145,160,244,303,149479,153681,35500,1142,1049,93,0.918563923,0.081436077,0.840800763,0.159199237,882,167,615200,,,743,174,12,162,0,569,0,306,63,336,240,324,103,4,29
25017315100,"Census Tract 3151, Middlesex County, Massachusetts",Census Tract 3151,3151,TEWKSBURY,5835,0.906940874,0.036846615,0.031191088,0,0,5292,215,0,182,0,68,78,1961,0.351351351,0.648648649,50,25,0,25,89,83,46,48,10,96,72,145,37,288,219,728,147034,147388,,2006,1892,114,0.943170489,0.056829511,0.912790698,0.087209302,1727,165,605600,,,1243,209,0,209,0,987,47,649,339,653,238,347,265,90,29
25017315200,"Census Tract 3152, Middlesex County, Massachusetts",Census Tract 3152,3152,TEWKSBURY,8733,0.87678919,0.024733768,0.037215161,0,0,7657,216,0,325,0,19,516,3456,0.4765625,0.5234375,35,17,34,158,62,122,116,23,195,105,502,278,353,409,317,730,108438,118732,61827,3663,2491,1172,0.68004368,0.31995632,0.947009233,0.052990767,2359,132,555100,,,1693,240,52,188,13,1357,83,798,1118,1117,367,462,194,131,67
25017315401,"Census Tract 3154.01, Middlesex County, Massachusetts",Census Tract 3154.01,3154.01,TEWKSBURY,4042,0.881246907,0.029688273,0.054428501,0.004700643,0,3562,120,19,220,0,39,82,1730,0.462427746,0.537572254,63,43,55,14,93,52,59,7,36,50,179,149,255,208,255,212,107656,118333,,1730,1290,440,0.74566474,0.25433526,0.909302326,0.090697674,1173,117,442800,,,900,196,0,196,0,684,20,390,813,550,188,94,32,0,53
25017315402,"Census Tract 3154.02, Middlesex County, Massachusetts",Census Tract 3154.02,3154.02,TEWKSBURY,3302,0.935190793,0.011811024,0.035433071,0,0,3088,39,0,117,0,5,53,1336,0.374251497,0.625748503,8,0,16,30,0,17,9,0,10,85,188,137,160,115,164,397,126429,131591,100608,1365,1194,171,0.874725275,0.125274725,0.882747069,0.117252931,1054,140,596300,,,753,77,24,53,0,656,20,441,247,665,140,197,60,5,22
25017315403,"Census Tract 3154.03, Middlesex County, Massachusetts",Census Tract 3154.03,3154.03,TEWKSBURY,1590,0.944654088,0.009433962,0.035849057,0,0,1502,15,0,57,0,0,16,542,0.313653137,0.686346863,8,0,7,6,0,0,10,7,15,10,41,66,28,74,152,118,149808,154554,96250,542,517,25,0.953874539,0.046125461,0.972920696,0.027079304,503,14,560500,,,368,41,0,41,0,316,11,149,92,140,155,113,26,16,0
25017315500,"Census Tract 3155, Middlesex County, Massachusetts",Census Tract 3155,3155,TEWKSBURY,7666,0.851943647,0.022958518,0.040960083,0,0,6531,176,0,314,0,90,555,2908,0.341127923,0.658872077,0,0,34,18,33,15,18,170,136,273,117,178,293,375,486,762,136724,138141,,3011,2756,255,0.915310528,0.084689472,0.891509434,0.108490566,2457,299,502500,,,2076,339,0,339,0,1682,55,680,429,1188,642,393,130,27,99
25017316101,"Census Tract 3161.01, Middlesex County, Massachusetts",Census Tract 3161.01,3161.01,BILLERICA,4633,0.892078567,0.020936758,0.054824088,0,0,4133,97,0,254,0,26,123,1625,0.299076923,0.700923077,42,0,32,47,42,11,11,24,11,31,147,88,148,211,304,476,145875,147500,,1633,1592,41,0.974892835,0.025107165,0.929020101,0.070979899,1479,113,598500,,,996,150,8,142,9,787,50,596,210,683,261,239,139,89,4
25017316102,"Census Tract 3161.02, Middlesex County, Massachusetts",Census Tract 3161.02,3161.02,BILLERICA,6646,0.890159494,0.03174842,0.043334336,0,0.001203732,5916,211,0,288,8,134,89,2352,0.295918367,0.704081633,36,19,32,43,17,29,11,14,54,37,205,199,100,173,754,629,163327,168644,,2439,1772,667,0.726527265,0.273472735,0.897291196,0.102708804,1590,182,609900,,,1208,251,0,251,0,902,55,564,391,911,328,553,107,25,37
25017316201,"Census Tract 3162.01, Middlesex County, Massachusetts",Census Tract 3162.01,3162.01,BILLERICA,4388,0.887648131,0.012534184,0.05674567,0,0,3895,55,0,249,0,45,144,1528,0.306937173,0.693062827,14,11,18,37,11,18,0,0,11,37,65,247,122,168,293,476,153333,154750,,1553,1511,42,0.97295557,0.02704443,0.882859034,0.117140966,1334,177,598200,,,910,161,0,161,0,736,13,601,261,493,367,222,73,71,41
25017316202,"Census Tract 3162.02, Middlesex County, Massachusetts",Census Tract 3162.02,3162.02,BILLERICA,3793,0.679145795,0.062483522,0.184550488,0,0,2576,237,0,700,0,109,171,1334,0.362818591,0.637181409,18,30,0,22,13,61,23,0,0,30,130,157,160,137,204,349,126797,138500,89250,1334,1284,50,0.962518741,0.037481259,0.742211838,0.257788162,953,331,583200,,,930,244,4,240,0,665,21,354,248,367,303,241,117,39,19
25017316300,"Census Tract 3163, Middlesex County, Massachusetts",Census Tract 3163,3163,BILLERICA,8536,0.759957826,0.03819119,0.123008435,0,0,6487,326,0,1050,0,159,514,3685,0.401628223,0.598371777,158,61,66,37,59,15,46,198,114,106,205,415,483,259,799,664,116659,140149,104364,3720,2261,1459,0.607795699,0.392204301,0.827952234,0.172047766,1872,389,541100,,,1728,109,12,97,0,1539,80,533,786,1569,762,419,149,0,0
25017316400,"Census Tract 3164, Middlesex County, Massachusetts",Census Tract 3164,3164,BILLERICA,6902,0.800927267,0.043610548,0.060996813,0,0,5528,301,0,421,0,257,395,2558,0.291243159,0.708756841,29,12,16,0,0,14,145,17,36,43,142,291,169,387,624,633,149191,166232,141100,2558,2076,482,0.81157154,0.18842846,0.834296724,0.165703276,1732,344,584600,,,1440,35,0,35,0,1374,31,636,418,1299,343,348,132,18,0
25017316500,"Census Tract 3165, Middlesex County, Massachusetts",Census Tract 3165,3165,BILLERICA,6802,0.592913849,0.107615407,0.083063805,0,0,4033,732,0,565,0,582,890,2571,0.452742124,0.547257876,209,34,0,0,20,41,17,123,103,178,129,310,241,394,264,508,107313,138119,61856,2587,1732,855,0.669501353,0.330498647,0.786374134,0.213625866,1362,370,476800,,,1386,365,41,324,0,1003,18,346,648,598,763,360,88,93,21
25017317101,"Census Tract 3171.01, Middlesex County, Massachusetts",Census Tract 3171.01,3171.01,CHELMSFORD,6486,0.736817761,0.002158495,0.113629356,0.000925069,0,4779,14,6,737,0,368,582,3029,0.465830307,0.534169693,188,11,212,46,69,66,114,68,67,145,208,217,371,264,280,703,103808,138288,43523,3121,1966,1155,0.629926306,0.370073694,0.765005086,0.234994914,1504,462,525900,,,1116,195,0,195,0,910,11,850,1080,949,545,349,97,9,0
25017317102,"Census Tract 3171.02, Middlesex County, Massachusetts",Census Tract 3171.02,3171.02,CHELMSFORD,5136,0.763434579,0.025116822,0.1394081,0.009540498,0,3921,129,49,716,0,12,309,1705,0.269208211,0.730791789,50,0,12,14,38,29,23,11,15,82,61,124,296,190,326,434,131719,133000,113906,1927,1324,603,0.68707836,0.31292164,0.836858006,0.163141994,1108,216,569900,,,1008,233,7,226,12,706,57,316,257,591,271,273,152,147,14
25017317103,"Census Tract 3171.03, Middlesex County, Massachusetts",Census Tract 3171.03,3171.03,CHELMSFORD,4908,0.825794621,0.057253464,0.065199674,0,0,4053,281,0,320,0,84,170,1712,0.262850467,0.737149533,0,14,0,12,0,64,15,0,9,95,49,192,150,136,251,725,160865,162308,91591,1761,1682,79,0.955139125,0.044860875,0.880499405,0.119500595,1481,201,624500,,,1116,157,7,150,0,921,38,566,271,667,244,291,156,31,52
25017317201,"Census Tract 3172.01, Middlesex County, Massachusetts",Census Tract 3172.01,3172.01,CHELMSFORD,2687,0.842203201,0.001116487,0.086713807,0.004465947,0,2263,3,12,233,0,44,132,901,0.249722531,0.750277469,0,0,0,25,9,7,0,29,8,23,59,65,44,52,112,468,206875,206875,,901,901,0,1,0,0.849056604,0.150943396,765,136,663200,,,626,93,9,84,0,469,64,275,108,329,167,194,80,9,14
25017317202,"Census Tract 3172.02, Middlesex County, Massachusetts",Census Tract 3172.02,3172.02,CHELMSFORD,4259,0.884949519,0,0.056586053,0,0,3769,0,0,241,0,119,130,1333,0.177044261,0.822955739,0,25,0,0,8,0,11,10,22,17,87,56,80,49,365,603,184531,186648,,1333,1301,32,0.975993998,0.024006002,0.885472713,0.114527287,1152,149,646100,,,909,168,0,168,20,673,48,392,96,498,208,241,136,143,11
